DamFunctTbl_multiplier,ShipTbl1,ShipTbl2,ShipTbl3,climate scenarios,collaboration,fragility dikes,land use scenarios,model,policy,Flood damage (Milj. Euro),Number of casualties,Costs
-0.076412851,-0.009606304,0.041351489,-0.019013131,19,1.565711097,0.078212596,sustainableGrowth,waasmodel,RfR Small Scale,19834,359.9783,70
-0.009047504,0.021640854,0.034321621,0.073412114,10,1.093078902,0.015228122,urbanizationLargeSteady,waasmodel,RfR Small Scale,14798,710.1252,70
0.084099379,0.098281085,0.065980886,-0.005580745,29,1.045767734,-0.034068557,urbanizationLargeSteady,waasmodel,RfR Small Scale,38688,865.8831,70
0.054630953,-0.04561867,-0.062395181,-0.080648265,11,1.268689582,0.067898116,urbanizationDeurbanization,waasmodel,RfR Small Scale,19055,571.3315,70
-0.081009978,-0.02053346,-0.048025316,-0.092961376,20,1.547248929,-0.008344726,urbanizationLargeSteady,waasmodel,RfR Small Scale,21515,409.0134,70
-0.05680348,-0.01379765,0.098811439,-0.048670768,26,1.045123768,0.047060566,moreNature,waasmodel,RfR Small Scale,26214,634.89645,70
-0.045003614,-0.077255182,-0.081608412,-0.066319404,20,1.208097183,0.019893732,NoChange,waasmodel,RfR Small Scale,12820,236.85759,70
0.094761971,-0.026773892,-0.010194047,0.018233481,27,1.234468448,0.08537984,Deurbanization,waasmodel,RfR Small Scale,24177,481.54003,70
0.001527071,-0.029793613,-0.056556426,0.056251672,25,1.05466132,0.095892904,Deurbanization,waasmodel,RfR Small Scale,19013,354.54759,70
-0.005236451,-0.098913272,-0.053531223,-0.003591503,14,1.075049797,0.058126163,NoChange,waasmodel,RfR Small Scale,22365,690.35022,70
0.048219105,-0.052668229,0.097133365,-0.069415838,22,1.034211124,-0.061240464,urbanizationDeurbanization,waasmodel,RfR Small Scale,54310,1234.24546,70
0.005079948,0.067740793,0.047099806,0.030812936,10,1.276565601,0.0425831,urbanizationDeurbanization,waasmodel,RfR Small Scale,13408,542.4739,70
0.05052919,-0.014529488,-0.034198789,-0.047752322,23,1.290126803,-0.080220305,sustainableGrowth,waasmodel,RfR Small Scale,52180,1523.9551,70
-0.054351154,-0.058007385,-0.019864116,0.012388554,11,1.038299212,0.09426141,urbanizationDeurbanization,waasmodel,RfR Small Scale,17739,571.3376,70
-0.083664034,0.099538303,-0.008049855,-0.064441053,2,1.13366492,-0.083965509,moreNature,waasmodel,RfR Small Scale,12109,314.08505,70
0.06785438,0.084050884,-0.030168059,0.076229272,10,1.483488277,-0.030398974,Deurbanization,waasmodel,RfR Small Scale,7278,234.20933,70
0.093770635,0.073910152,0.08350309,0.051426456,20,1.585270331,0.029320905,urbanizationDeurbanization,waasmodel,RfR Small Scale,20722,359.2965,70
-0.044560088,0.09468593,0.068351755,-0.075962051,28,1.237532657,0.032505576,urbanizationLargeAndFast,waasmodel,RfR Small Scale,56986,1291.24702,70
0.033772668,0.035989906,0.008772611,-0.033126991,17,1.119065443,0.089663841,NoChange,waasmodel,RfR Small Scale,19463,502.36725,70
-0.017496655,0.005218031,0.015802569,0.012928217,13,1.246451361,-0.04198322,Deurbanization,waasmodel,RfR Small Scale,17991,759.30648,70
0.076662033,-0.070577625,-0.074409248,0.03020315,22,1.493597739,0.075743945,Deurbanization,waasmodel,RfR Small Scale,31686,579.78857,70
-0.091804714,-0.066727872,0.033439194,-0.027409703,26,1.006367764,-0.022513311,NoChange,waasmodel,RfR Small Scale,24766,563.16709,70
