DamFunctTbl,ShipTbl1,ShipTbl2,ShipTbl3,climate scenarios,collaboration,fragility dikes,land use scenarios,model,policy,Costs,Flood damage (Milj. Euro),Number of casualties
-0.09333754210657297,0.06812939851462646,-0.039002789544746036,0.0202460189111046,12,1.5263131411522628,0.050252189513209616,NoChange,waas,no policy,0.0,1170.0,8.88
0.06861928416855492,0.02804740536788969,-0.004863190444711396,0.05891257436869416,15,1.0808577041298484,0.041819700336107206,Deurbanization,waas,no policy,0.0,992.0,6.16
-0.03298618221524294,-0.03905598879790045,-0.019245253186139,0.028787251363849905,30,1.363417600022912,0.09681694135268429,urbanizationLargeAndFast,waas,no policy,0.0,0.0,0.0
0.02748984376105573,0.04022371144212936,-0.06714348391110062,-0.08909401839222895,6,1.51038944051177,-0.05395037386628842,Deurbanization,waas,no policy,0.0,0.0,0.0
-0.09150890457327987,0.004258526033630042,0.029751869301496894,0.008327453354739542,8,1.4071679919787947,0.04600324309249515,Deurbanization,waas,no policy,0.0,0.0,0.0
0.02195899367685239,0.05420759573539835,0.08730112841057584,0.07721548424324176,10,1.3535476374554478,-0.08480567500938549,NoChange,waas,no policy,0.0,0.0,0.0
0.012963864925125884,0.07285145197697496,-0.011578657267285604,-0.0457367462240002,12,1.004743223361174,0.0006275951272440157,Deurbanization,waas,no policy,0.0,992.0,6.16
0.09022478128815983,-0.024174625638709785,-0.002011693730135585,0.049596662256600116,3,1.5052839569287304,0.09428812668827422,urbanizationLargeAndFast,waas,no policy,0.0,2956.0,23.4666
-0.04322586008190495,0.08896437047968926,-0.09823143369111904,0.013649444337483205,9,1.1833566651399827,0.08659043265841841,sustainableGrowth,waas,no policy,0.0,0.0,0.0
-0.04573914879210537,0.062034728176888265,-0.05034050634830072,0.09282496305057647,14,1.5937118726808022,-0.02306159379198872,Deurbanization,waas,no policy,0.0,0.0,0.0
